name;quantity
75006 RED;146
71062 CRE;0
71062 BLU;18
71062 YEL;22
71060 BLU;18
71060 YEL;18
V311RAIN;0
V311LOCO;0
V311LOL;53
12272;0
71061 CRE;21
71061 BLU;34
71061 YEL;34
71064 ORA;49
71064 TUR;0
71063 VIO;37
71063 BEI;14
71050 BLA;9
71058 BEI;11
23026;121
71051 FUX;6
71054 BRO;7
71054 GRY;17
71054 VIO;30
71057 VIN;4
71057 BEI;23
71065 BLA;0
71066 BLA;4
71066 BEI;15
81017;0
81020;430
81023;4158
81024;4392
81025;3925
P81017;971
81026;0
81027;0
81028;0
81041;641
75051 BRO;108
75051 BLU;105
75051 GRY;113
75053 BRO;110
75053 BLU;116
59100 TUR;14
59100 BLU;3
59100 RED;3
59100 GRE;4
59100 YEL;44
59100 PIN;4
59100 VIO;0
59101 TUR;4
59101 BLU;49
59101 RED;64
59101 GRE;52
59101 YEL;25
59101 PIN;9
59101 VIO;46
59103 TUR;0
59103 BLU;0
59103 RED;0
59103 GRE;0
59103 YEL;28
59103 PIN;4
59103 VIO;0
59104 GRE;3
59104 YEL;35
59104 PIN;0
59104 VIO;39
75052 RED;131
75052 BLA;122
23076;0
23076G;0
23076RG;56
23074G;49
57004 WHI;62
57004 BLA;292
57004 BLU;50
57004 VIO;70
57004 DBLU;1
57004 GRE;12
57004 GOL;41
57004 DRED;14
57017 BLA;83
57017 WHI;0
57017 BLU;159
57018 WHI;0
57018 BLU;0
81001M CBEI;13
81001M DBLU;25
81001M TUR;30
81001M PUR;31
81001M LGRY;5
81001M DGRY;29
81001M DBEI;39
81001M BLA;19
81002M CBEI;5
81002M DBLU;7
81002M TUR;28
81002M PUR;21
81002M DGRY;30
81002M DBEI;2
81004M BLA;5
81004M LGRY;25
81004M DGRY;11
81003M DBLU;12
81003M TUR;13
81003M PUR;17
81006M DBLU;14
81006M CBEI;12
81007M BLA;8
81007M CBEI;4
81007M DBEI;5
81010M RED;0
81010M PUR;0
81011M PIN;0
81011M TUR;0
81012M BLA;0
81012M FUX;0
81013M BLU;0
81013M YEL;0
23145;28
11073;0
81001S CBEI;17
81001S DBLU;18
81001S TUR;25
81001S PUR;24
81001S LGRY;14
81001S DGRY;2
81001S DBEI;10
81001S BLA;11
81002S CBEI;6
81002S PUR;25
81002S LGRY;16
81002S DGRY;4
81002S DBEI;4
81002S BLA;1
81004S BLA;20
81004S LGRY;2
81004S DGRY;3
81003S DBLU;7
81003S TUR;10
81003S PUR;8
81005S DBLU;4
81005S PUR;0
81006S DBLU;11
81006S CBEI;4
81007S BLA;3
81007S CBEI;5
81007S DBEI;7
81010XS RED;66
81010S RED;0
81010XS PUR;10
81010S PUR;0
81011XS PIN;0
81011S PIN;0
81011XS TUR;0
81011S TUR;0
81012XS BLA;0
81012S BLA;0
81012XS FUX;0
81012S FUX;0
81013XS BLU;0
81013S BLU;0
81013XS YEL;0
81013S YEL;0
81014XS;0
81014S;0
81015S;18
81016S;0
81003S BLA;11
81003M BLA;9
81019M GRY;0
81019S GRY;0
81019XS GRY;0
23018;2
12290;28
12290G;0
12290RG;0
72009 BLA;18
72009 RED;24
72009 BEI;17
71049 GRY;4
23068G;0
23068RG;0
23068;0
72004 BLA;24
72004 BEI;28
74027 001;4
57140R;0
57140G;105
72008 ROS;31
72008 BLA;23
57143 001;0
57143 RED;0
62192;4
71038 RED;3
72010 BLA;3
72010 BEI;23
72011 BLU;0
72011 YEL;16
12294G;75
12294RG;90
12294;62
11935;4
11356G;29
22967;0
22967G;0
P22372;0
12244;73
12244G;0
23017;18
23091;23
61273;29
61273G;30
61273 WHI;0
61273G WHI;0
57131;182
22914;0
22914RG;0
12156;0
12156RG;0
23135G;72
57141GR 001;0
57141BL 001;14
57141BL 280;17
57141 215;4
57141 202;0
57141 227;108
57141 502;102
22904;0
22904G;0
22904RG;0
23114;46
23114G;32
57141 229;0
11440;0
23161G;0
11347;2
22014;0
22778;98
11952;42
22778G;40
11952G;8
23019;0
23147;14
11558G;0
23160G;0
23016;0
23016G;0
23032;0
62193;0
62196;0
62197;4
23004;131
23005;0
22188R;8
11557R;0
23080;1
23080G;0
22678R;0
23069G;31
23069;5
23069RG;57
22312;0
11754;0
12152;0
22912;0
22912RG;0
12246;1
L2014;16
12311G;5
23100;1
23100G;21
23100RG;40
22987;13
22996;17
61267;0
62140;9
11727;128
22777;14
22777RG;12
22964RG;13
22966;1
22966G;0
63526;21
63526RG;0
57129 BLU;194
57129 ORA;305
22688;28
22995;0
12252R;48
12252RG;5
11395;21
11570G;89
11570R;25
11752;5
58045R;15
58045G;34
74015 202;169
11920RG;181
11991;14
22915;0
22915RG;0
62107;16
62107G;25
23070G;66
23070;52
23070RG;66
23039;40
23039G;0
23039RG;0
62194;3
12428G;36
75024 RED;43
75024 GRY;99
58010;0
75022 BRO;0
11801 GRE;0
12184;0
23003RG;49
23003;65
23107G;80
75040 RED;197
75040 BEI;101
23042;0
23042G;0
75014 BLA;101
75014 RED;54
75014 WHI;164
75033 BRO;344
75033 BLA;377
32181;1
75039 SIL;83
75039 GOL;106
75042;66
11757G;0
11757 215;20
11757 266;0
75046 BLA;34
22801;183
22926R;67
22926G;0
23073 GRE;0
23073G GRE;0
23073 RED;67
23073G RED;26
63294S;4
63294M;6
63294L;9
63294XL;4
75004 RED;174
75004 BRO;29
75017 BLA;1
75018 BRO;36
75018 PUR;30
75020 RED;141
75020 WHI;147
75029 RED;84
11463;0
75031 TUR;0
22974;0
75009 WHI;62
58019;0
75030 BLU;1
75030 PIN;2
75030 YEL;0
75030 GRE;1
