name;quantity;description;price
61268;10;Pendant Ginkgo Simple 925AG RH CZ;104
61267;10;Necklace Ginkgo 925AG RH CZ;252
63336S;10;Ring Ginkgo 925AG RH CZ;88
63336M;10;Ring Ginkgo 925AG RH CZ;88
63336L;10;Ring Ginkgo 925AG RH CZ;88
63336XL;10;Ring Ginkgo 925AG RH CZ;88
62237;10;Earrings Ginkgo 925AG RH CZ;102
63540;10;Bracelet Ginkgo 925AG RH CZ;252
61270 WHI;10;Necklace Felicity 925AG RH  CZ;56
61272 WHI;10;Necklace Rosalie 925AG RH CZ;56
61272G WHI;10;Necklace Rosalie 925AG GP CZ;56
62252;10;Earrings Affinity 925AG RH CZ;32
62239 WHI;10;Earrings Felicity 925AG RH  CZ;48
62242 WHI;10;Earrings Rosalie 925AG RH CZ;48
63338GS WHI;10;Ring Rosalie 925AG GP CZ;57
63338GM WHI;10;Ring Rosalie 925AG GP CZ;57
63338GL WHI;10;Ring Rosalie 925AG GP CZ;57
63338GXL WHI;10;Ring Rosalie 925AG GP CZ;57
62241;10;Earrings Mia 925AG RH  CZ;49
63338S WHI;10;Ring Rosalie 925AG RH CZ;57
63338M WHI;10;Ring Rosalie 925AG RH CZ;57
63338L WHI;10;Ring Rosalie 925AG RH CZ;57
63338XL WHI;10;Ring Rosalie 925AG RH CZ;57
63541;10;Bracelet Custody 925AG RH CZ;113
61272RG PIN;10;Necklace Rosalie 925AG RG CZ pink;56
61270G PIN;10;Necklace Felicity 925AG GP CZ pink;56
62239G PIN;10;Earrings Felicity 925AG GP CZ pink;48
63542 WHI;10;Bracelet Rosalie 925AG RH CZ;52
63542G WHI;10;Bracelet Rosalie 925AG GP CZ;52
63338RGS PIN;10;Ring Rosalie 925AG RG CZ;57
63338RGM PIN;10;Ring Rosalie 925AG RG CZ;57
63338RGL PIN;10;Ring Rosalie 925AG RG CZ;57
63338RGXL PIN;10;Ring Rosalie 925AG RG CZ;57
63542RG PIN;10;Bracelet Rosalie 925AG RG CZ pink;52
61275;10;Necklace Ruby 925AG RH CZ;76
61274;10;Necklace Sophia 925AG RH CZ;51
62244;10;Earrings Sophia 925AG RH CZ;34
63543;10;Bracelet Caroline 925AG RH CZ;52
62246;10;Earrings Caroline 925AG RH CZ;26
62247;10;Earrings Daphne 925AG RH CZ;40
63544;10;Bracelet Ruby 925AG RH CZ;56
62245;10;Earrings Ruby 925AG RH CZ;51
62243G WHI;10;Earrings Rosalie 925AG GP CZ;48
61277;10;Pendant Alice 925AG RH CZ;71
61278;10;Pendant Synthia 925AG RH CZ;41
61280;10;Necklace Maya 925AG RH CZ;50
61281;10;Pendant Whisper 925AG RH CZ;40
62249;10;Earrings Alice 925AG RH CZ;42
62250;10;Earrings Synthia 925AG RH CZ;52
62253;10;Earrings Spinner 925AG RH CZ;322
63311S;6;Ring Nightshade 925AG RH violet;103
63311M;0;Ring Nightshade 925AG RH violet;103
63311L;4;Ring Nightshade 925AG RH violet;103
63311XL;7;Ring Nightshade 925AG RH violet;103
63289S;21;Ring Austras 925AG CZ RH White;66
63289M;23;Ring Austras 925AG CZ RH White;66
