name;quantity;description;price;image-url
63337GS WHI;2;Ring Felicity 925AG GP CZ S;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63337GS%20PIN.jpg
63337GM WHI;7;Ring Felicity 925AG GP CZ M;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63337GS%20PIN.jpg
63337GL WHI;9;Ring Felicity 925AG GP CZ L;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63337GS%20PIN.jpg
63337GXL WHI;4;Ring Felicity 925AG GP CZ XL;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63337GS%20PIN.jpg
62242G WHI;20;Earrings Rosalie 925AG GP CZ;47;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/62242G%20WHI.jpg
61271G WHI;-5;Necklace Ophelia 925AG GP CZ;52;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/61271G%20WHI.jpg
62240G WHI;28;Earrings Ophelia 925AG GP CZ;51;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/62240G%20WHI.jpg
62242RG PIN;25;Earrings Rosalie 925AG RG CZ pink;47;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/62242RG%20PIN.jpg
63338RGS PIN;3;Ring Rosalie 925AG RG CZ S;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63338RGS%20PIN.jpg
63338RGM PIN;9;Ring Rosalie 925AG RG CZ M;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63338RGM%20PIN.jpg
63338RGL PIN;9;Ring Rosalie 925AG RG CZ L;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63338RGL%20PIN.jpg
63338RGXL PIN;4;Ring Rosalie 925AG RG CZ XL;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63338RGXL%20PIN.jpg
63542RG PIN;27;Bracelete Rosalie 925AG RG CZ pink;52;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63542RG%20PIN.jpg
63340S WHI;-2;Ring Caroline 925AG RH CZ S;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63340S%20WHI.jpg
63340M WHI;-3;Ring Caroline 925AG RH CZ M;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63340M%20WHI.jpg
63340L WHI;-2;Ring Caroline 925AG RH CZ L;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63340L%20WHI.jpg
63340XL WHI;-2;Ring Caroline 925AG RH CZ XL;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63340XL%20WHI.jpg
62244;21;Earrings Sophia 925AG RH CZ;34;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/62244.jpg
63340GS WHI;-2;Ring Caroline 925AG GP CZ S;57;https://firebasestorage.googleapis.com/v0/b/flutterapp-fd5c3.appspot.com/o/wall%2Fno_image.jpg?alt=media&token=22a7b907-01f6-45b6-8fb1-f1f884ab21d4
63340GM WHI;-2;Ring Caroline 925AG GP CZ M;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63340GM%20WHI.jpg
63340GL WHI;-3;Ring Caroline 925AG GP CZ L;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63340GL%20WHI.jpg
63340GXL WHI;10;Ring Caroline 925AG GP CZ XL;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63340GXL%20WHI.jpg
63543G WHI;-2;Bracelete Caroline 925AG GP CZ;52;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63543G%20WHI.jpg
63339S WHI;-1;Ring Camille 925AG RH CZ S;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63339S%20WHI.jpg
63339M WHI;-3;Ring Camille 925AG RH CZ M;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63339M%20WHI.jpg
63339L WHI;-3;Ring Camille 925AG RH CZ L;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63339L%20WHI.jpg
63339XL WHI;-3;Ring Camille 925AG RH CZ XL;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63339XL%20WHI.jpg
63339GS WHI;10;Ring Camille 925AG GP CZ S;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63339GS%20WHI.jpg
63339GM WHI;10;Ring Camille 925AG GP CZ M;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63339GM%20WHI.jpg
63339GL WHI;-1;Ring Camille 925AG GP CZ L;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63339GL%20WHI.jpg
63339GXL WHI;10;Ring Camille 925AG GP CZ XL;57;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/63339GXL%20WHI.jpg
62243 WHI;-10;Earrings Camille 925AG RH CZ;47;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/62243%20WHI.jpg
61273 WHI;-12;Necklace Camille 925AG RH CZ;79;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/61273%20WHI.jpg
61273G WHI;-9;Necklace Camille 925AG GP CZ;79;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/61273G%20WHI.jpg
62254;0;Earrings Maya 925AG RH CZ;41;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/62254.jpg
31003 WHI;0;Bracelete white pearl;44;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/31003.jpg
12442;0;Anhänger Felicity Heart RH CRY;69;https://firebasestorage.googleapis.com/v0/b/flutterapp-fd5c3.appspot.com/o/wall%2Fno_image.jpg?alt=media&token=22a7b907-01f6-45b6-8fb1-f1f884ab21d4
12441;-1;Necklace Felicity RH pearl;69;https://firebasestorage.googleapis.com/v0/b/flutterapp-fd5c3.appspot.com/o/wall%2Fno_image.jpg?alt=media&token=22a7b907-01f6-45b6-8fb1-f1f884ab21d4
12435G;33;Anhänger Florescence GP CRY pearl;54;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/12435G.jpg
12375RG;2;Necklace Libertá STE RG;59;https://storage.googleapis.com/flutterapp-fd5c3.appspot.com/NewImages/12375RG.jpg
