number,quantity
11742,5
41166,2
12257,1
22980,1
12210,2
12011,2
12402RG,4
12386G,1
22412R,5
22794R,3
12309G,4
12380G,1
11815,1
22781R,1
12395,1
22364G,3
12010,1
23100G,2
32391G,3
12375G,1
12391G,2
62238,2
41159G,1
22793R,2
63273,2
21020,2
23130G,3
41163,1
12311G,3
22012,1
11792,3
63341,1
61186,1
63248,1
12194RG,1
12145,1
12417,3
11975,1
61206,1
12180R,2
22412G,5
63287,1
63258,2
61254,1
12292RG,1
11058,1
22796R,5
11982R,1
22792R,3
11983R,1
23116G,1
32410G,2
12292,3
22917,3
22686,1
62085,3
11984R,2
41146,1
32404G,1
63256,2
22417G,1
11986R,2
62136,1
41212G,1
62235,1
62151,1
63262,2
32321G,1
61144,2
12295RG,1
32321,1
22921,1
63280,3
41165,1
32295RG,1
12044RG,1
61203,1
22559,1
62145,1
32402G,1
23081RG,1
